
                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
[Warning: Directory already exists.] 
[> In WFObs_s_initialize (line 42)
  In WFObs_core (line 46)
  In WFObs_batchJob (line 46)] 
 WindFarmObserver (WFObs)
 Case:  axi_2turb_alm_turb_ExKF_uinf_noest.m
 3:33 AM __  t(0058) = 0058 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.99 s.
 
 3:34 AM __  t(0059) = 0059 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.20 m/s, Measurement RMSE: 0.39 m/s.
 3:34 AM __  t(0059) = 0059 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.93 s.
 
 3:34 AM __  t(0060) = 0060 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.19 m/s, Measurement RMSE: 0.43 m/s.
 3:34 AM __  t(0060) = 0060 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.91 s.
 
 3:34 AM __  t(0061) = 0061 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.17 m/s, Measurement RMSE: 0.43 m/s.
 3:34 AM __  t(0061) = 0061 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 15.04 s.
 
 3:34 AM __  t(0062) = 0062 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.16 m/s, Measurement RMSE: 0.40 m/s.
 3:34 AM __  t(0062) = 0062 s __ Flow RMSE: 2.10 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.34 s.
 
 3:35 AM __  t(0063) = 0063 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.16 m/s, Measurement RMSE: 0.46 m/s.
 3:35 AM __  t(0063) = 0063 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.07 s.
 
 3:35 AM __  t(0064) = 0064 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.15 m/s, Measurement RMSE: 0.48 m/s.
 3:35 AM __  t(0064) = 0064 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.17 s.
 
 3:35 AM __  t(0065) = 0065 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.14 m/s, Measurement RMSE: 0.47 m/s.
 3:35 AM __  t(0065) = 0065 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.04 s.
 
 3:35 AM __  t(0066) = 0066 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.14 m/s, Measurement RMSE: 0.43 m/s.
 3:35 AM __  t(0066) = 0066 s __ Flow RMSE: 2.10 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.06 s.
 
 3:36 AM __  t(0067) = 0067 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.13 m/s, Measurement RMSE: 0.40 m/s.
 3:36 AM __  t(0067) = 0067 s __ Flow RMSE: 2.10 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.06 s.
 
 3:36 AM __  t(0068) = 0068 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.13 m/s, Measurement RMSE: 0.36 m/s.
 3:36 AM __  t(0068) = 0068 s __ Flow RMSE: 2.10 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.05 s.
 
 3:36 AM __  t(0069) = 0069 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.12 m/s, Measurement RMSE: 0.32 m/s.
 3:36 AM __  t(0069) = 0069 s __ Flow RMSE: 2.10 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.14 s.
 
 3:36 AM __  t(0070) = 0070 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.12 m/s, Measurement RMSE: 0.33 m/s.
 3:36 AM __  t(0070) = 0070 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.14 s.
 
 3:37 AM __  t(0071) = 0071 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.12 m/s, Measurement RMSE: 0.28 m/s.
 3:37 AM __  t(0071) = 0071 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.14 s.
 
 3:37 AM __  t(0072) = 0072 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.12 m/s, Measurement RMSE: 0.19 m/s.
 3:37 AM __  t(0072) = 0072 s __ Flow RMSE: 2.10 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.09 s.
 
 3:37 AM __  t(0073) = 0073 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.12 m/s, Measurement RMSE: 0.29 m/s.
 3:37 AM __  t(0073) = 0073 s __ Flow RMSE: 2.10 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.13 s.
 
 3:37 AM __  t(0074) = 0074 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.12 m/s, Measurement RMSE: 0.28 m/s.
 3:37 AM __  t(0074) = 0074 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.02 s.
 
 3:37 AM __  t(0075) = 0075 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.11 m/s, Measurement RMSE: 0.25 m/s.
 3:37 AM __  t(0075) = 0075 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.03 s.
 
 3:38 AM __  t(0076) = 0076 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.11 m/s, Measurement RMSE: 0.24 m/s.
 3:38 AM __  t(0076) = 0076 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.86 s.
 
 3:38 AM __  t(0077) = 0077 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.10 m/s, Measurement RMSE: 0.19 m/s.
 3:38 AM __  t(0077) = 0077 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.94 s.
 
 3:38 AM __  t(0078) = 0078 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.10 m/s, Measurement RMSE: 0.17 m/s.
 3:38 AM __  t(0078) = 0078 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.01 s.
 
 3:38 AM __  t(0079) = 0079 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.10 m/s, Measurement RMSE: 0.10 m/s.
 3:38 AM __  t(0079) = 0079 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.99 s.
 
 3:39 AM __  t(0080) = 0080 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.09 m/s, Measurement RMSE: 0.12 m/s.
 3:39 AM __  t(0080) = 0080 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.00 s.
 
 3:39 AM __  t(0081) = 0081 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.08 m/s, Measurement RMSE: 0.14 m/s.
 3:39 AM __  t(0081) = 0081 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.10 s.
 
 3:39 AM __  t(0082) = 0082 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.07 m/s, Measurement RMSE: 0.19 m/s.
 3:39 AM __  t(0082) = 0082 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.01 s.
 
 3:39 AM __  t(0083) = 0083 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.07 m/s, Measurement RMSE: 0.14 m/s.
 3:39 AM __  t(0083) = 0083 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.00 s.
 
 3:40 AM __  t(0084) = 0084 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.05 m/s, Measurement RMSE: 0.18 m/s.
